"DAT_EMISSAO","TipoVeiculo","QTD_CHASSI","VALOR_TOTAL_NF"
"2006-07-19","Ônibus e Microonibus",4,275168.82
"2006-07-19","Ônibus e Microonibus",1,112500
"2006-07-19","Caminhonete",10,779347.6000000001
"2006-07-19","Caminhão",5,484700
"2006-07-19","Outros",10,712166.1799999999
"2006-07-19","Outros",1,153900
"2006-07-20","Motocicleta",29,171720.43
"2006-07-20","Motocicleta",129,847759.6299999999
"2006-07-20","Automóvel",137,4633563.419999999
"2006-07-20","Ônibus e Microonibus",1,223000
"2006-07-20","Caminhonete",7,451291.08999999997
"2006-07-20","Caminhão",3,373869.53
"2006-07-20","Outros",1,340000
"2006-07-20","Outros",11,983506.3999999999
"2006-07-20","Outros",2,237000
"2006-07-21","Motocicleta",29,166121.97000000003
"2006-07-21","Motocicleta",145,988865.9900000001
"2006-07-21","Automóvel",114,3661082.049999999
"2006-07-21","Ônibus e Microonibus",1,510000
"2006-07-21","Caminhonete",6,318133.53
"2006-07-21","Caminhão",2,268500
"2006-07-21","Outros",7,390259.86000000004
"2006-07-21","Outros",2,307800
"2006-07-22","Motocicleta",9,52885.63
"2006-07-22","Motocicleta",29,188715.76
"2006-07-22","Automóvel",18,646187.41
"2006-07-22","Caminhonete",4,151090.02
"2006-07-23","Outros",2,115147.68
"2006-07-24","Motocicleta",19,107047.87999999999
"2006-07-24","Motocicleta",120,771382.1399999997
"2006-07-24","Automóvel",164,5552902.78
"2006-07-24","Caminhonete",11,602882.52
"2006-07-24","Caminhão",4,407050
"2006-07-24","Outros",13,997666.9299999999
"2006-07-24","Outros",2,323900
"2006-07-25","Motocicleta",20,115863.5
"2006-07-25","Motocicleta",144,938010.1400000001
"2006-07-25","Automóvel",162,5436695.649999999
"2006-07-25","Ônibus e Microonibus",2,148187.7
"2006-07-25","Ônibus e Microonibus",3,465000
"2006-07-25","Caminhonete",11,572726.5
"2006-07-25","Caminhão",8,789400
"2006-07-25","Outros",23,1662937.99
"2006-07-25","Outros",5,687310.33
"2006-07-26","Motocicleta",30,178552.77
"2006-07-26","Motocicleta",172,1174664.1200000003
"2006-07-26","Automóvel",154,5447161.689999997
"2006-07-26","Caminhonete",11,700673.53
"2006-07-26","Caminhão",2,232900
"2006-07-26","Outros",1,212700
"2006-07-26","Outros",15,935023.68
"2006-07-26","Outros",3,360900
"2006-07-27","Motocicleta",27,152937.92
"2006-07-27","Motocicleta",193,1222945.2499999995
"2006-07-27","Automóvel",141,4800827.169999998
"2006-07-27","Caminhonete",15,635095.1800000002
"2006-07-27","Caminhão",5,419493
"2006-07-27","Outros",24,1120403.2599999995
"2006-07-27","Outros",4,444900
"2006-07-28","Motocicleta",24,133648.44999999998
"2006-07-28","Motocicleta",222,1440619.9300000002
"2006-07-28","Automóvel",130,4203653.42
"2006-07-28","Ônibus e Microonibus",1,123300
"2006-07-28","Ônibus e Microonibus",16,3394250
"2006-07-28","Caminhonete",6,283885.21
"2006-07-28","Caminhão",8,1099800.01
"2006-07-28","Outros",15,990890.9799999999
"2006-07-28","Outros",4,419258.4
"2006-07-29","Motocicleta",8,45318.81999999999
"2006-07-29","Motocicleta",93,591639.25
"2006-07-29","Automóvel",26,1033619
"2006-07-29","Outros",1,27990
"2006-07-30","Motocicleta",1,5000
"2006-07-30","Motocicleta",5,23378
"2006-07-31","Motocicleta",62,361898.67000000004
"2006-07-31","Motocicleta",406,2586039.6499999994
"2006-07-31","Automóvel",230,7566390.919999995
"2006-07-31","Ônibus e Microonibus",3,260687.7
"2006-07-31","Ônibus e Microonibus",14,4528400
"2006-07-31","Caminhonete",13,607306.69
"2006-07-31","Caminhão",25,3800965.71
"2006-07-31","Outros",4,877400
"2006-07-31","Outros",19,1269404.4599999997
"2006-08-01","Motocicleta",21,120050.37
"2006-08-01","Motocicleta",122,798719.4500000003
"2006-08-01","Automóvel",82,3097037.8200000003
"2006-08-01","Caminhonete",6,570807
"2006-08-01","Outros",23,2088063.73
"2006-08-01","Outros",7,1075200
"2006-08-02","Motocicleta",18,105378.38000000002
"2006-08-02","Motocicleta",137,858038.6400000001
"2006-08-02","Automóvel",78,2668642.6700000004
"2006-08-02","Caminhonete",8,370736.33
"2006-08-02","Caminhão",2,143198
"2006-08-02","Outros",15,924811.16
"2006-08-02","Outros",2,278900
"2006-08-03","Motocicleta",27,150432.15000000002
"2006-08-03","Motocicleta",159,1037558.0800000002
"2006-08-03","Automóvel",91,3265160.09
"2006-08-03","Ônibus e Microonibus",1,72000
"2006-08-03","Ônibus e Microonibus",1,409965
"2006-08-03","Caminhonete",6,273979.94
"2006-08-03","Outros",17,1443621.8699999999
"2006-08-03","Outros",1,75679.2
"2006-08-04","Motocicleta",1,8317
"2006-08-04","Motocicleta",24,135484.93
"2006-08-04","Motocicleta",144,946402.9899999999
"2006-08-04","Automóvel",103,3488880.239999998
"2006-08-04","Ônibus e Microonibus",1,145720
"2006-08-04","Caminhonete",9,917740
"2006-08-04","Caminhão",2,150900
"2006-08-04","Outros",10,829002.6
"2006-08-04","Outros",3,301700
"2006-08-05","Motocicleta",11,56944.369999999995
"2006-08-05","Motocicleta",53,340835.99
"2006-08-05","Automóvel",19,714080.8
"2006-08-05","Outros",2,148686.96
"2006-08-06","Motocicleta",2,11100
"2006-08-06","Motocicleta",2,37790
"2006-08-06","Automóvel",2,55920
"2006-08-07","Motocicleta",21,122681.83
"2006-08-07","Motocicleta",138,899378.0299999999
"2006-08-07","Automóvel",134,4637823.76
"2006-08-07","Ônibus e Microonibus",1,124450
"2006-08-07","Caminhonete",15,993244.15
"2006-08-07","Caminhão",2,345365
"2006-08-07","Outros",20,1202207.53
"2006-08-07","Outros",1,76000
"2006-08-08","Motocicleta",14,78567.05999999998
"2006-08-08","Motocicleta",160,1061534.9200000004
"2006-08-08","Automóvel",86,3189771.5200000005
"2006-08-08","Ônibus e Microonibus",1,163950
"2006-08-08","Caminhonete",3,271490
"2006-08-08","Outros",15,1069718.5999999999
"2006-08-08","Outros",1,185900
"2006-08-09","Motocicleta",27,150697.25
